,Value
name,Microsoft Corporation
sector,Technology
industry,Software - Infrastructure
employees,228000
website,https://www.microsoft.com
country,United States
price,389.0
week_52_high,555.45
week_52_low,344.79
market_cap_b,2891.2
pe_trailing,24.327705
pe_forward,20.637053
ps_ratio,9.46527
pb_ratio,7.3933287
ev_ebitda,16.675
eps_ttm,15.99
gross_margin_pct,68.59
net_margin_pct,39.04
op_margin_pct,47.09
roe_pct,34.39
roa_pct,14.86
revenue_growth_pct,16.7
earnings_growth_pct,59.8
debt_equity,31.539
current_ratio,1.386
quick_ratio,1.239
dividend_yield_pct,94.0
payout_ratio_pct,21.28
beta,1.084
fetched_at,2026-02-25T00:28:09.094293
source,yfinance
